ds,yhat
2024-07-22 03:00:00,29.12675361798936
2024-07-22 04:00:00,29.596795506745185
2024-07-22 05:00:00,30.09358045879212
2024-07-22 06:00:00,30.606341338515918
2024-07-22 07:00:00,31.32149048280268
2024-07-22 08:00:00,32.505141022979075
2024-07-22 09:00:00,34.2491528377509
2024-07-22 10:00:00,36.288479396680934
2024-07-22 11:00:00,38.06417878892131
2024-07-22 12:00:00,39.01262925042574
2024-07-22 13:00:00,38.8750648948201
2024-07-22 14:00:00,37.806837318949285
2024-07-22 15:00:00,36.23186825658284
2024-07-22 16:00:00,34.5831654595269
2024-07-22 17:00:00,33.12729986228516
2024-07-22 18:00:00,31.95864006232412
2024-07-22 19:00:00,31.09125587263948
2024-07-22 20:00:00,30.52152261130108
2024-07-22 21:00:00,30.213820300984636
